user_id,total_spend,count_saved_items,loyalty_credits,batch_id
5988,3500,12,517,3164
5989,775,17,613,298
5982,1749,8,386,1489
5983,3061,7,905,4271
5980,3852,48,938,3496
5981,6179,24,726,7180
5986,869,43,57,1281
5987,3106,2,877,3682
5984,1297,1,889,1950
5985,1982,0,696,949
6796,1062,10,893,997
6797,522,11,816,1295
6794,6663,46,267,7017
6795,3249,27,624,4393
6792,3583,0,726,3349
6793,3801,46,669,4423
6790,1912,44,748,619
6791,3553,17,271,3156
6798,3160,30,97,3558
6799,889,5,635,622
6294,3053,20,297,4040
270,414,17,589,136
271,6893,49,232,7571
272,1459,13,269,194
273,3457,0,355,3035
274,2582,32,512,2361
275,3472,28,833,3244
276,1054,23,74,1324
277,400,8,217,1095
278,6442,6,424,6100
279,1604,7,939,680
9528,2548,17,124,2517
9529,1054,39,1,88
9258,2506,24,725,2186
9259,957,5,691,686
9256,6416,1,92,6095
9257,5509,38,270,7179
9254,432,7,306,1742
9255,2395,33,250,2129
9252,239,17,950,1293
9253,1961,24,688,1660
9250,3890,13,62,3022
9251,6194,2,190,6093
2143,1918,8,212,1202
2142,188,3,4,1084
3519,3562,37,837,4366
3518,5887,11,501,6980
3513,755,35,375,456
3512,2907,20,412,2426
3511,1557,40,290,1732
3510,3545,0,2,4252
3517,1578,47,88,1266
3516,2217,39,236,2828
3515,3053,34,205,3348
3514,2078,50,316,2143
2688,842,10,929,1247
2689,2974,23,893,2399
2684,3639,38,738,4392
2685,3032,19,377,3010
2686,5054,6,915,6114
2687,453,21,512,1711
2680,2619,23,589,2423
2681,1194,5,403,135
2682,929,15,48,1229
2683,3596,20,379,3178
99,1439,18,938,1968
98,2632,37,741,2969
91,2204,7,447,2250
90,6812,32,849,7476
93,2451,7,782,2840
92,562,27,990,1697
95,573,9,994,400
94,1807,5,880,530
97,5122,39,844,6888
96,3489,29,603,3146
1177,2613,46,785,2406
1176,2138,34,71,2162
1175,6836,31,97,7003
1174,2153,23,583,2822
1173,6536,47,427,6181
1172,1903,7,611,126
1171,3031,4,761,3595
1170,6388,24,359,6409
1179,3864,43,560,4345
1178,6824,19,510,7660
7188,1559,29,519,99
876,3955,3,344,4090
877,5626,42,828,6804
7180,3064,18,303,3398
7181,148,25,67,1469
7182,2413,36,568,2907
7183,3862,40,464,3368
7184,719,45,665,1807
3432,203,2,477,329
7186,92,6,587,711
7187,2530,19,845,2004
623,1688,8,489,1408
875,2548,33,869,2437
622,5895,12,618,6810
872,3020,34,200,3895
1225,1549,48,972,1212
3435,2955,29,290,2848
620,1251,8,198,1051
8549,486,4,695,646
870,5175,19,829,6759
8019,6062,23,615,7967
8018,1907,13,982,672
8017,2386,35,434,2954
627,5230,35,458,6441
8015,3999,50,221,3411
871,3572,43,587,4297
8013,5836,11,384,6236
8012,717,34,638,1409
8011,3333,20,789,3735
626,506,23,123,478
7456,2736,15,275,2881
4592,366,15,878,778
7454,2505,0,190,2289
7455,6646,5,509,7561
7452,6273,42,428,7490
625,3122,2,655,4490
7450,655,18,226,920
2036,5343,14,523,6527
624,6923,43,999,7625
4590,2527,47,692,2262
7458,6428,15,551,7486
7459,591,48,704,1034
4591,5414,41,313,6777
4596,6732,26,796,7751
4849,1899,40,581,712
4594,1442,14,664,45
4595,1367,27,300,25
2749,808,32,693,1223
4845,454,8,497,1006
4598,1210,11,273,1816
8291,6192,42,495,6944
4599,1740,5,782,1912
4734,3007,4,307,3419
8290,408,10,259,1964
4735,3837,34,925,3315
8293,5486,30,72,7584
8292,3127,23,107,4220
2039,1561,40,524,496
8295,995,12,342,323
4843,3474,14,725,3758
4738,2328,0,147,2137
8294,5875,8,149,7653
4739,933,22,677,889
8297,1215,38,948,1574
8296,2305,38,337,2218
393,2371,31,387,2805
392,5928,34,768,6124
391,681,38,932,140
390,1891,12,476,1783
397,1923,43,976,1242
396,5153,15,336,6669
395,6993,24,353,6159
394,1976,21,297,164
399,5812,0,513,6102
398,5893,8,606,6103
2309,1394,11,766,1280
2308,5483,33,689,7502
4729,742,30,659,1637
4728,1487,2,21,1207
2301,1233,31,538,188
2300,2756,8,843,2401
2303,3864,43,793,3479
2302,2021,13,890,2666
2305,5218,25,940,6579
2304,1130,1,966,870
2307,304,4,372,862
2306,2926,29,372,2204
5847,3091,0,655,4022
5846,3649,12,339,3889
5845,921,16,372,1288
5844,799,3,285,683
5843,1405,28,62,463
5842,21,15,218,415
5841,6272,44,444,7695
5840,611,4,399,907
5849,1140,14,443,42
5848,1783,40,408,1031
3748,918,33,408,1367
3749,3054,48,903,3860
3746,1032,47,619,1380
3747,3886,7,118,3637
3744,3350,32,424,4485
3745,6427,11,76,7285
3742,3672,47,61,3777
3743,3118,24,209,3478
3740,1290,44,259,472
3741,3374,39,140,3357
4620,2416,23,67,2804
4621,6798,1,107,7180
4622,6240,44,575,6575
4623,997,33,981,1683
4624,887,47,203,1560
4625,2191,6,621,2368
4626,1970,35,524,620
4627,2413,26,53,2368
4628,5333,8,914,6628
4629,393,33,516,649
179,2338,45,536,2377
178,5454,41,411,7081
177,1414,0,794,331
176,1010,50,459,636
175,6397,32,185,6199
174,1044,13,497,1704
173,5406,3,105,7133
172,5178,34,363,7355
171,2050,12,278,2878
170,3365,36,186,3676
7218,3320,24,190,3603
7219,3109,12,264,3332
7210,6208,10,643,7985
7211,2742,2,469,2996
7212,1877,3,571,1841
7213,2771,12,595,2501
7214,499,21,684,1183
7215,916,11,780,1944
7216,1442,0,444,603
7217,611,14,11,379
6217,3250,45,353,3455
6216,2098,1,868,2518
6215,1593,4,677,563
6214,1095,25,717,1216
6213,5148,22,406,7203
6212,6595,40,548,6227
6211,701,32,173,997
6210,3369,49,537,3663
6219,1092,24,112,1479
6218,3931,33,446,4407
6819,419,27,891,990
6818,3235,16,276,3096
6811,3134,30,502,4056
6810,809,15,658,321
6813,1879,0,403,1122
6812,3493,36,855,3395
6815,2590,45,899,2234
6814,5805,21,397,7063
6817,25,22,524,818
6816,3129,50,381,3801
9757,3221,10,387,4255
9756,5517,7,865,7845
9755,1412,41,344,1148
9754,3019,1,85,4087
9753,6802,23,305,7958
9752,2751,24,813,2185
9751,2315,3,390,2324
9750,1108,15,216,1709
9759,662,8,31,722
9758,3863,21,504,3772
8913,2704,46,657,2591
8848,2635,17,711,2542
8849,6121,16,208,6416
8840,5294,31,739,6178
8841,3070,19,188,3450
8842,3249,0,413,3351
8843,3441,50,573,3738
8844,5025,0,207,7517
8845,96,28,696,277
8846,1976,4,761,232
8847,1378,7,977,803
8915,6069,44,12,7813
7669,295,18,365,1322
7668,1761,20,860,173
7661,478,21,227,1351
7660,679,41,466,1171
7663,284,33,327,1787
7662,7000,22,320,6679
7665,1908,27,973,5
7664,1719,35,12,155
7667,586,49,412,1539
7666,2091,4,643,2419
1768,947,14,938,885
1769,6261,8,484,7045
1762,1239,1,708,1496
1763,718,21,318,485
1760,302,9,488,1646
1761,662,33,286,967
1766,1487,37,464,1429
1767,6669,45,954,6968
1764,114,42,225,500
1765,1246,40,154,758
692,3461,27,138,3807
693,5155,2,739,6458
690,250,9,61,605
691,2024,32,118,2438
696,3228,39,415,3500
697,1903,31,726,1285
694,3981,20,187,3123
695,1178,40,814,1274
698,870,46,122,1648
699,6726,46,518,6290
1548,1365,22,90,301
1549,521,45,683,1342
8710,2034,44,151,2056
8711,3110,10,722,4370
8712,3942,0,417,3053
8713,6287,33,352,6711
8714,3863,31,426,3310
8715,1944,50,872,409
8716,1206,28,672,565
8717,5397,35,921,7878
8718,2323,43,806,2387
8719,5702,29,888,6044
5618,381,22,913,1777
5619,1079,7,385,511
9330,1455,15,573,1803
5612,6678,41,417,6300
5613,1255,31,456,1057
5610,5177,32,736,7413
5611,1810,11,971,701
5616,6568,41,272,6012
5617,970,11,82,785
5614,5374,19,823,7523
5615,3563,42,448,3027
7116,585,42,180,837
7118,2732,30,929,2578
9524,6369,16,451,7369
9525,3937,9,730,3859
9526,1078,30,587,8
9527,5240,17,378,6875
9520,1189,2,59,369
9521,6053,32,937,6068
9522,2003,33,610,2339
9523,5609,34,854,6985
6778,6799,14,207,7302
6779,5180,49,335,6608
6774,6348,20,578,6317
6775,649,17,236,1383
6776,6798,31,774,7104
6777,2967,37,697,2032
6770,5686,16,374,7213
6771,2991,6,384,2336
6772,6148,36,439,7746
6773,3006,4,727,3198
9964,6065,18,553,6346
9965,723,27,447,399
9966,425,36,152,585
9967,6673,30,534,7290
9960,1030,48,772,1364
9961,2183,36,199,2324
9962,1776,22,172,865
9963,5115,20,956,7335
9968,2811,46,367,2341
9969,2404,34,431,2823
3580,180,42,868,1057
258,175,10,3,409
259,20,0,790,1216
252,5585,24,889,6981
253,2993,36,884,2429
250,2576,47,312,2801
251,2991,41,609,2095
256,2888,49,96,2042
257,1051,18,50,507
254,454,24,108,373
255,5595,11,590,6901
4665,2757,44,916,2286
9508,1369,7,174,826
9509,1439,25,913,744
9502,1914,3,879,686
9503,2408,42,348,2978
9500,3445,38,994,3710
9501,2445,8,816,2216
9506,3913,24,169,3402
9507,1964,20,266,1010
9504,1869,39,133,20
9505,2413,38,941,2068
3689,5580,47,719,6315
3688,6278,28,631,6407
3683,702,20,251,773
3682,5257,29,230,6229
3681,2227,25,859,2494
3680,2380,23,772,2627
3687,2881,46,808,2955
3686,188,5,374,1458
3685,5007,9,388,7182
3684,826,22,195,678
2518,353,24,80,1278
2519,1452,13,61,27
2514,553,43,126,664
2515,2096,42,808,2061
2516,6952,15,141,6798
2517,3805,27,924,4460
2510,1176,46,335,1656
2511,520,2,871,1289
2512,5214,47,641,7707
2513,1230,32,566,478
3531,1288,49,145,874
3530,6474,0,279,7342
3533,5738,47,939,7865
3532,835,39,805,965
3535,2683,29,65,2005
3534,3814,43,478,4259
3537,2431,33,353,2289
3536,796,42,513,1058
5054,3079,11,435,3311
3538,3971,44,583,4128
5056,5467,12,704,7063
5057,5127,20,621,7635
5050,5773,44,246,7019
5051,1428,33,429,44
5052,3425,48,973,3157
5053,2776,44,448,2329
1159,826,33,628,579
1158,3826,2,729,3295
1155,3594,40,217,3060
1154,1443,34,288,728
1157,3879,32,797,3850
1156,311,17,113,365
1151,1703,6,244,1741
1150,3820,4,692,3022
1153,2464,15,924,2689
1152,2924,15,174,2634
8035,2047,14,984,2536
8034,3747,43,74,4427
8037,181,27,413,488
8036,3147,28,69,3863
8031,3802,50,872,3059
8030,6124,12,219,6106
8033,3754,50,620,4338
8032,2421,28,610,2577
8039,1138,0,877,1578
8038,5047,33,39,6624
8529,92,5,226,1928
8528,1530,6,752,1890
8523,6427,39,631,7674
8522,5043,19,582,6134
8521,5375,14,954,6607
8520,3414,27,11,4439
8527,131,32,352,1573
8526,3176,18,446,4368
8525,3469,45,249,3573
8524,5996,26,615,7863
8536,6967,46,133,7413
4299,5493,35,95,6153
4298,2938,10,873,2921
4295,929,30,647,1932
4294,1646,42,396,615
4297,3446,5,829,4071
4296,3812,7,826,3579
4291,189,8,528,1306
4290,1564,2,947,1099
4293,2203,17,936,2118
4292,365,3,928,1013
6368,5656,14,124,6308
4749,2262,28,946,2301
4748,6624,10,320,7736
1324,5000,34,376,6191
4743,939,21,510,1152
4742,741,33,225,470
4741,6966,4,772,6161
4740,444,43,268,344
4747,2619,27,903,2530
4746,1956,0,255,1629
4745,2260,22,386,2208
4744,5316,3,743,6865
5869,1438,35,886,1428
5868,2195,40,714,2635
5865,1961,16,707,1227
5864,3816,44,617,3763
5867,3132,7,985,3745
5866,1153,19,797,613
5861,3245,3,500,3815
5860,1793,38,297,1223
5863,1273,34,584,1429
5862,1453,26,104,935
9006,1320,12,364,94
8537,3385,18,854,4299
2183,1796,50,115,1082
2182,37,40,691,1919
2181,554,32,244,38
2180,6693,39,18,7742
2187,1510,14,789,183
2186,2527,25,318,2080
2185,1133,16,478,940
2184,5091,6,295,6774
4606,6922,15,754,6327
4607,194,2,331,137
2189,48,39,760,60
2188,325,23,321,1016
4602,967,11,229,1192
4603,173,4,900,16
4600,118,47,507,554
4601,3798,6,805,3712
6907,640,27,737,1511
6906,5510,4,949,6443
6905,534,40,481,1983
6904,2147,19,408,2081
6903,1568,39,479,665
6902,2820,16,755,2420
151,6705,7,52,7840
150,2999,15,467,2106
153,1682,4,773,1960
152,3971,10,49,3521
155,3196,47,333,3951
154,5651,29,580,7373
157,6987,47,169,6826
156,5303,46,829,6665
159,1748,13,733,1691
158,1649,33,537,808
6900,3311,20,667,3654
8134,2768,41,278,2683
8135,239,22,531,322
8688,116,38,743,935
8689,946,48,151,1097
6187,1123,30,791,306
6186,6717,19,601,7337
6185,2885,20,866,2570
6184,1038,30,910,163
6183,2232,23,653,2837
6182,1940,43,177,1089
6181,3766,16,717,3409
6180,2278,26,591,2022
6954,2373,27,496,2168
8133,2385,18,588,2049
6189,6711,38,489,6764
6188,2049,37,159,2009
2727,5891,22,59,6035
2726,6350,44,660,6152
2725,2291,36,799,2803
2724,1210,48,566,62
2723,1653,49,613,1994
2722,609,5,638,1046
2721,3407,44,745,3773
2720,1353,48,354,1316
2729,1757,29,979,1075
2728,4000,2,932,4472
7236,2967,8,427,2167
7237,1105,31,608,1559
7234,426,27,567,878
7235,1797,0,717,601
7232,1965,43,139,631
7233,436,3,993,804
6955,2518,39,552,2485
7231,1232,41,563,99
9199,932,36,77,1253
