user_id,total_spend,count_saved_items,loyalty_credits,batch_id
5988,4208,20,287,5731
5989,775,17,613,298
5982,1749,8,386,1489
5983,4537,17,151,4623
5980,3852,48,938,3496
5981,6179,24,726,7180
5986,869,43,57,1281
5987,3106,2,877,3682
5984,1297,1,889,1950
5985,1982,0,696,949
6970,1602,28,191,406
6796,4417,0,392,5132
6797,522,11,816,1295
6794,6663,46,267,7017
6795,3249,27,624,4393
6792,4271,2,314,5038
6793,3801,46,669,4423
6790,4770,13,360,5267
6791,4230,5,486,5893
6798,4537,30,829,4631
6799,889,5,635,622
270,414,17,589,136
271,6893,49,232,7571
272,4835,39,458,5828
273,3457,0,355,3035
274,2582,32,512,2361
275,3472,28,833,3244
276,4179,25,875,5560
277,400,8,217,1095
278,6442,6,424,6100
279,4210,25,700,4541
2146,1349,23,281,1361
2558,1508,23,985,1797
9528,2548,17,124,2517
9529,1054,39,1,88
9258,2506,24,725,2186
9259,957,5,691,686
9524,6369,16,451,7369
9525,3937,9,730,3859
9254,432,7,306,1742
9255,2395,33,250,2129
9252,4365,13,404,4957
9521,6053,32,937,6068
9522,2003,33,610,2339
9251,6194,2,190,6093
4644,897,20,870,660
2143,1918,8,212,1202
3519,4751,5,759,4909
3518,5887,11,501,6980
3513,755,35,375,456
3512,2907,20,412,2426
3511,4654,8,120,5946
3510,3545,0,2,4252
3517,1578,47,88,1266
3516,4025,43,386,4886
3515,3053,34,205,3348
3514,4857,20,915,5642
2688,4889,1,282,5353
2689,2974,23,893,2399
2684,3639,38,738,4392
2685,3032,19,377,3010
2686,5054,6,915,6114
2687,4840,15,969,4589
2680,2619,23,589,2423
2681,1194,5,403,135
2682,929,15,48,1229
2683,3596,20,379,3178
1211,1072,38,151,1881
99,1439,18,938,1968
98,2632,37,741,2969
91,2204,7,447,2250
90,6812,32,849,7476
93,2451,7,782,2840
92,4897,24,778,4768
95,573,9,994,400
94,1807,5,880,530
97,5122,39,844,6888
96,3489,29,603,3146
1376,324,48,261,171
8243,6411,13,766,6491
1177,2613,46,785,2406
1176,2138,34,71,2162
1175,6836,31,97,7003
1174,4393,35,236,5448
1173,6536,47,427,6181
1172,1903,7,611,126
1171,3031,4,761,3595
1170,6388,24,359,6409
1179,3864,43,560,4345
1178,6824,19,510,7660
7188,1559,29,519,99
7189,6383,18,707,7659
3431,1755,16,639,163
7180,3064,18,303,3398
7181,148,25,67,1469
7182,2413,36,568,2907
7183,4505,27,535,5235
7184,719,45,665,1807
7185,2920,16,245,2942
7186,92,6,587,711
7187,4948,39,470,5922
1227,1733,29,660,1887
3433,1746,32,641,87
622,5895,12,618,6810
3434,659,1,841,1206
1225,4935,42,717,5300
3435,2955,29,290,2848
620,1251,8,198,1051
8549,4455,7,5,5493
8548,4901,7,829,5455
8019,6062,23,615,7967
8018,1907,13,982,672
8017,2386,35,434,2954
8544,3184,41,222,4162
8015,3999,50,221,3411
8014,2296,19,455,2334
8541,5671,24,834,6300
8540,3847,5,152,3404
8011,3333,20,789,3735
1222,6644,47,774,6818
7456,2736,15,275,2881
7457,4187,50,462,5988
7454,2505,0,190,2289
7455,6646,5,509,7561
7452,6273,42,428,7490
7453,2903,31,875,2230
7450,655,18,226,920
7451,4166,31,260,5131
624,6923,43,999,7625
4590,2527,47,692,2262
7458,6428,15,551,7486
7459,4465,45,863,5644
4591,5414,41,313,6777
2745,4325,0,169,5947
2744,4923,50,520,5823
2031,4105,12,354,5109
7486,1398,24,560,750
2030,953,36,414,1456
2749,808,32,693,1223
2748,3136,17,75,3197
4598,1210,11,273,1816
6536,1744,3,72,1885
4599,1740,5,782,1912
2318,1675,21,567,160
6537,6932,29,713,7953
2319,1447,50,271,1021
8293,5486,30,72,7584
6535,4605,33,808,5915
4842,376,8,140,1299
6532,4041,21,735,5843
2038,4264,42,69,4627
2314,3549,37,922,4375
6533,6210,20,601,6848
4739,933,22,677,889
8297,1215,38,948,1574
6531,1837,33,953,1304
393,2371,31,387,2805
392,5928,34,768,6124
391,681,38,932,140
390,1891,12,476,1783
397,1923,43,976,1242
396,5153,15,336,6669
395,6993,24,353,6159
394,1976,21,297,164
399,5812,0,513,6102
398,5893,8,606,6103
2309,1394,11,766,1280
2308,5483,33,689,7502
4729,742,30,659,1637
4728,1487,2,21,1207
4725,3791,34,145,3858
2300,4349,8,315,5067
4727,5414,24,134,7376
2302,2021,13,890,2666
4721,5624,4,427,7921
4720,3972,39,858,3886
2307,304,4,372,862
2306,2926,29,372,2204
5847,3091,0,655,4022
5846,4700,10,728,5859
5845,921,16,372,1288
5844,799,3,285,683
5843,4351,29,335,5704
5842,21,15,218,415
5841,6272,44,444,7695
5840,611,4,399,907
5849,4044,22,544,4900
5848,1783,40,408,1031
3748,918,33,408,1367
3749,3054,48,903,3860
3746,1032,47,619,1380
3747,3886,7,118,3637
3744,4934,12,566,5940
3745,6427,11,76,7285
3742,4460,29,5,5548
3743,3118,24,209,3478
3740,1290,44,259,472
3741,3374,39,140,3357
4620,4572,23,25,4571
4621,6798,1,107,7180
4622,6240,44,575,6575
4623,997,33,981,1683
4624,887,47,203,1560
4625,2191,6,621,2368
4626,1970,35,524,620
4627,2413,26,53,2368
4628,5333,8,914,6628
4629,4455,27,469,4546
179,2338,45,536,2377
178,5454,41,411,7081
177,1414,0,794,331
176,1010,50,459,636
175,6397,32,185,6199
174,1044,13,497,1704
173,5406,3,105,7133
172,5178,34,363,7355
171,4942,3,262,5526
170,3365,36,186,3676
5604,522,29,715,1598
7218,3320,24,190,3603
7219,3109,12,264,3332
7210,6208,10,643,7985
7211,2742,2,469,2996
7212,1877,3,571,1841
7213,4987,8,304,4501
7214,499,21,684,1183
7215,4025,9,339,5573
7216,1442,0,444,603
7217,611,14,11,379
6217,4391,42,2,5480
6216,4693,3,369,5988
6215,1593,4,677,563
6214,1095,25,717,1216
6213,5148,22,406,7203
6212,6595,40,548,6227
6211,4870,40,699,5549
6210,4706,0,501,5244
6219,1092,24,112,1479
6218,4981,10,977,5935
6819,419,27,891,990
6818,4840,31,455,4672
6811,4876,1,688,4820
6810,809,15,658,321
6813,4557,38,549,5926
6812,3493,36,855,3395
6815,2590,45,899,2234
6814,5805,21,397,7063
6817,25,22,524,818
6816,4887,50,996,5543
9757,3221,10,387,4255
9756,5517,7,865,7845
9755,1412,41,344,1148
9754,4306,17,644,4996
9753,6802,23,305,7958
9752,4733,15,280,4668
9751,4519,39,750,4506
9750,1108,15,216,1709
1115,648,31,360,525
9759,4809,4,535,4848
9758,3863,21,504,3772
8913,2704,46,657,2591
8848,2635,17,711,2542
8849,6121,16,208,6416
1985,547,30,440,577
8840,5294,31,739,6178
8841,3070,19,188,3450
8842,3249,0,413,3351
8843,3441,50,573,3738
8844,5025,0,207,7517
8845,96,28,696,277
8846,4617,6,460,5118
8847,1378,7,977,803
7669,295,18,365,1322
7668,1761,20,860,173
7661,478,21,227,1351
7660,4044,27,801,5601
7663,284,33,327,1787
7662,7000,22,320,6679
7665,1908,27,973,5
7664,1719,35,12,155
7667,586,49,412,1539
7666,2091,4,643,2419
1768,947,14,938,885
1769,6261,8,484,7045
1116,126,16,729,1879
1762,1239,1,708,1496
1763,718,21,318,485
1760,302,9,488,1646
1761,662,33,286,967
1766,1487,37,464,1429
1767,6669,45,954,6968
1764,114,42,225,500
1765,1246,40,154,758
1546,4524,17,335,5222
1547,4035,9,760,4799
690,4180,28,730,4715
1545,2641,34,709,2570
696,3228,39,415,3500
1543,6247,4,876,7263
694,3981,20,187,3123
695,4739,6,886,4729
698,4823,20,703,5468
699,6726,46,518,6290
1548,4086,35,970,4978
1549,521,45,683,1342
8710,2034,44,151,2056
8711,3110,10,722,4370
8712,3942,0,417,3053
8713,6287,33,352,6711
8714,3863,31,426,3310
8715,1944,50,872,409
8716,1206,28,672,565
8717,5397,35,921,7878
8718,2323,43,806,2387
8719,5702,29,888,6044
5618,381,22,913,1777
5619,1079,7,385,511
9330,1455,15,573,1803
5612,6678,41,417,6300
5613,1255,31,456,1057
5610,5177,32,736,7413
5611,1810,11,971,701
5616,6568,41,272,6012
5617,4485,31,264,5229
5614,5374,19,823,7523
5615,3563,42,448,3027
7116,585,42,180,837
7118,4459,26,337,5382
9256,6416,1,92,6095
9257,5509,38,270,7179
9526,1078,30,587,8
9527,5240,17,378,6875
9520,1189,2,59,369
9253,1961,24,688,1660
9250,4103,50,651,5727
9523,5609,34,854,6985
1983,75,47,120,1209
6778,6799,14,207,7302
6779,5180,49,335,6608
6774,6348,20,578,6317
6775,649,17,236,1383
6776,6798,31,774,7104
6777,4041,13,1000,4646
6770,5686,16,374,7213
6771,4826,4,539,4947
6772,6148,36,439,7746
6773,3006,4,727,3198
9964,6065,18,553,6346
9965,4404,13,319,5426
9966,425,36,152,585
9967,6673,30,534,7290
9960,4966,3,636,4509
9961,4315,1,675,4808
9962,1776,22,172,865
9963,5115,20,956,7335
9968,2811,46,367,2341
9969,2404,34,431,2823
3580,180,42,868,1057
258,175,10,3,409
259,4651,43,44,4912
252,5585,24,889,6981
253,2993,36,884,2429
250,2576,47,312,2801
251,2991,41,609,2095
256,2888,49,96,2042
257,1051,18,50,507
254,4520,24,379,5252
255,5595,11,590,6901
3581,1816,46,637,1644
9508,1369,7,174,826
9509,4140,12,699,5140
9502,1914,3,879,686
9503,2408,42,348,2978
9500,3445,38,994,3710
9501,2445,8,816,2216
9506,3913,24,169,3402
9507,1964,20,266,1010
9504,4428,49,267,5865
9505,4583,18,519,4583
3689,5580,47,719,6315
3688,6278,28,631,6407
3583,5551,16,795,7844
3683,4235,39,906,5871
3682,5257,29,230,6229
3681,2227,25,859,2494
3680,2380,23,772,2627
3687,2881,46,808,2955
3686,188,5,374,1458
3685,5007,9,388,7182
3684,826,22,195,678
2518,353,24,80,1278
2519,1452,13,61,27
2514,553,43,126,664
2515,2096,42,808,2061
2516,6952,15,141,6798
2517,3805,27,924,4460
2510,1176,46,335,1656
2511,4701,46,120,5663
2512,5214,47,641,7707
2513,4950,47,36,4689
361,1556,13,999,367
3531,1288,49,145,874
3530,6474,0,279,7342
3533,5738,47,939,7865
3532,835,39,805,965
3535,2683,29,65,2005
3534,3814,43,478,4259
3537,2431,33,353,2289
3536,796,42,513,1058
5054,4391,35,876,4938
5055,3061,8,839,3622
5056,5467,12,704,7063
5057,5127,20,621,7635
5050,5773,44,246,7019
5051,1428,33,429,44
5052,3425,48,973,3157
5053,2776,44,448,2329
2795,361,17,455,1181
2157,670,44,721,34
6980,5121,16,418,7848
1159,826,33,628,579
1158,3826,2,729,3295
1155,3594,40,217,3060
1154,1443,34,288,728
1157,4134,37,32,4830
1156,311,17,113,365
1151,1703,6,244,1741
1150,3820,4,692,3022
1153,2464,15,924,2689
1152,2924,15,174,2634
8035,2047,14,984,2536
8034,3747,43,74,4427
