user_id,total_spend,count_saved_items,loyalty_credits,batch_id
1,1119,34,109,1536
2,271,4,305,1223
3,390,15,113,105
4,1689,39,690,1042
5,70,9,154,6
6,1602,37,960,1333
7,1,12,449,1282
8,416,12,197,1153
9,626,26,708,1218
10,1105,30,196,1333
11,1710,46,620,1172
12,516,35,436,1841
13,116,15,218,574
14,12,6,461,701
15,1252,27,680,1985
16,1017,16,938,1311
17,439,47,400,120
18,1963,39,363,1890
19,1993,28,454,1267
20,450,42,471,1790
21,1590,49,965,1829
22,1140,22,511,1789
23,50,43,630,650
24,433,12,516,1509
25,373,29,460,1513
26,855,11,289,1272
27,1297,8,351,1832
28,1255,39,251,1525
29,1807,17,140,230
30,1012,29,472,1626
31,1082,24,301,198
32,1434,40,463,127
33,495,32,982,1842
34,441,9,4,483
35,1412,19,338,513
36,1105,20,891,1316
37,1357,46,530,48
38,712,42,993,587
39,1685,4,716,971
40,43,35,198,1817
41,1301,34,731,1563
42,627,13,131,1556
43,1230,8,914,115
44,271,32,539,1521
45,1716,13,92,401
46,694,41,691,1181
47,661,24,598,107
48,424,22,99,1753
49,1822,22,504,359
50,613,6,511,259
51,934,35,787,883
52,668,16,655,883
53,971,44,816,143
54,1799,44,496,1178
55,1698,26,180,1305
56,775,34,185,683
57,176,20,371,276
58,902,4,506,956
59,935,7,844,213
60,564,5,927,868
61,556,2,390,1800
62,1377,16,618,280
63,95,44,395,1823
64,1787,16,659,1284
65,1332,16,966,1633
66,1630,11,402,1294
67,1925,19,207,569
68,1148,9,406,1580
69,270,0,209,725
70,407,32,434,349
71,268,50,890,756
72,1263,39,638,1751
73,1672,43,203,1111
74,102,33,295,1279
75,1868,11,469,503
76,697,28,46,1810
77,1618,9,219,359
78,1360,7,510,1547
79,934,34,2,303
80,1888,21,311,182
81,709,40,147,1940
82,662,45,199,0
83,1120,19,693,1563
84,361,18,653,575
85,895,27,769,1649
86,823,22,706,514
87,1134,3,80,1072
88,724,3,665,790
89,628,39,974,1814
90,1067,47,698,1505
91,1689,5,374,1516
92,562,27,990,1697
93,1275,14,137,213
94,1807,5,880,530
95,573,9,994,400
96,1906,25,76,1007
97,558,22,592,1365
98,1594,41,198,1979
99,1439,18,938,1968
100,1465,23,563,591
101,795,47,940,31
102,61,28,627,1114
103,979,1,520,1605
104,1436,31,647,1440
105,1544,3,411,997
106,479,13,806,1937
107,1180,49,700,884
108,377,47,172,1885
109,646,38,342,883
110,724,2,503,1409
111,1451,14,171,1827
112,812,47,717,1555
113,1520,10,360,331
114,1807,46,35,291
115,1234,11,692,1947
116,1643,47,246,409
117,843,50,894,865
118,295,15,422,618
119,590,41,550,1675
120,904,2,250,954
121,738,41,26,1588
122,1131,40,641,1786
123,1803,45,806,971
124,453,8,337,322
125,1515,21,756,1568
126,1000,18,250,1786
127,939,17,254,724
128,617,23,511,502
129,1479,24,734,1900
130,1655,38,28,859
131,736,7,158,102
132,1810,24,598,692
133,1847,34,237,934
134,738,2,939,463
135,723,41,935,183
136,1815,23,844,1831
137,445,8,292,1960
138,1294,3,960,253
139,1333,25,709,1118
140,1346,31,998,879
141,1381,34,902,1697
142,1849,16,899,1820
143,215,18,443,616
144,360,1,648,436
145,301,11,777,1672
146,1173,14,116,43
147,897,43,361,126
148,1685,0,260,1232
149,11,8,114,1813
150,1238,27,425,152
151,1895,43,482,451
152,1439,35,359,1716
153,1682,4,773,1960
154,494,27,289,833
155,347,32,857,1308
156,1667,40,958,1728
157,882,8,576,1111
158,1649,33,537,808
159,1748,13,733,1691
160,796,40,417,673
161,1304,11,701,1367
162,833,11,991,930
163,274,48,985,1017
164,190,4,544,1422
165,323,3,476,702
166,239,18,455,1618
167,1837,34,523,890
